datetime_utc,percentage(t-11),wind_100(t-11),percentage(t-10),wind_100(t-10),percentage(t-9),wind_100(t-9),percentage(t-8),wind_100(t-8),percentage(t-7),wind_100(t-7),percentage(t-6),wind_100(t-6),percentage(t-5),wind_100(t-5),percentage(t-4),wind_100(t-4),percentage(t-3),wind_100(t-3),percentage(t-2),wind_100(t-2),percentage(t-1),wind_100(t-1),percentage(t),wind_100(t),wind_100(t+1),wind_100(t+2),wind_100(t+3),wind_100(t+4),wind_100(t+5),wind_100(t+6)
2020-01-01 11:00:00+00:00,0.06363977538076154,2.4039257,0.06590197558527235,2.367543,0.06640756760805697,2.326614,0.06483893594762276,2.2801588,0.06330271403223872,2.2213662,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,1.5351435,1.4042226,1.3694384,1.4763368,1.5491998,1.5452013
2020-01-01 12:00:00+00:00,0.06590197558527235,2.367543,0.06640756760805697,2.326614,0.06483893594762276,2.2801588,0.06330271403223872,2.2213662,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,1.4042226,1.3694384,1.4763368,1.5491998,1.5452013,1.563194
2020-01-01 13:00:00+00:00,0.06640756760805697,2.326614,0.06483893594762276,2.2801588,0.06330271403223872,2.2213662,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,1.3694384,1.4763368,1.5491998,1.5452013,1.563194,1.6102843
2020-01-01 14:00:00+00:00,0.06483893594762276,2.2801588,0.06330271403223872,2.2213662,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,1.4763368,1.5491998,1.5452013,1.563194,1.6102843,1.7392732
2020-01-01 15:00:00+00:00,0.06330271403223872,2.2213662,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,1.5491998,1.5452013,1.563194,1.6102843,1.7392732,2.0151176
2020-01-01 16:00:00+00:00,0.06285545955054464,2.175812,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,1.5452013,1.563194,1.6102843,1.7392732,2.0151176,2.0812073
2020-01-01 17:00:00+00:00,0.05971171428066564,2.1764097,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,0.020366283789606282,1.5452013,1.563194,1.6102843,1.7392732,2.0151176,2.0812073,2.129619
2020-01-01 18:00:00+00:00,0.054876180319161576,2.2024531,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,0.020366283789606282,1.5452013,0.02389894600008844,1.563194,1.6102843,1.7392732,2.0151176,2.0812073,2.129619,2.1498585
2020-01-01 19:00:00+00:00,0.04694227473084906,2.2047048,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,0.020366283789606282,1.5452013,0.02389894600008844,1.563194,0.025675000028844805,1.6102843,1.7392732,2.0151176,2.0812073,2.129619,2.1498585,2.241468
2020-01-01 20:00:00+00:00,0.03860000635490281,2.2749271,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,0.020366283789606282,1.5452013,0.02389894600008844,1.563194,0.025675000028844805,1.6102843,0.02578519316201568,1.7392732,2.0151176,2.0812073,2.129619,2.1498585,2.241468,2.3097587
2020-01-01 21:00:00+00:00,0.03061424517450995,1.8873,0.026083362816478536,1.6642457,0.022278458747573497,1.5351435,0.020897803608430878,1.4042226,0.01806519189103512,1.3694384,0.01675583819100302,1.4763368,0.01908933983462435,1.5491998,0.020366283789606282,1.5452013,0.02389894600008844,1.563194,0.025675000028844805,1.6102843,0.02578519316201568,1.7392732,0.027548283292751663,2.0151176,2.0812073,2.129619,2.1498585,2.241468,2.3097587,2.4116726
