valid_time,u100,v100,u10,v10,wind_10,wind_100
2020-01-03 07:00:00,1.1863519,0.55782306,0.5945217,0.54098326,2.0812352,2.9897258
2020-01-03 08:00:00,1.1176944,0.4636118,0.57995003,0.49690196,2.0736847,2.9403858
2020-01-03 09:00:00,0.9956078,0.4524354,0.55672663,0.48918554,2.0914712,2.8353927
2020-01-03 10:00:00,1.0605799,0.3076732,0.7148267,0.40224314,2.0547388,2.7239602
2020-01-03 11:00:00,1.1343874,0.22490898,0.88235813,0.27526924,2.0923634,2.5762901
2020-01-03 12:00:00,1.3429154,-0.033365555,1.0717944,0.055349298,2.1806574,2.6381922
2020-01-03 13:00:00,1.5461233,-0.3131214,1.2368201,-0.17222866,2.2817636,2.7727091
2020-01-03 14:00:00,1.6177816,-0.61943287,1.2910675,-0.4111308,2.3428655,2.8738306
2020-01-03 15:00:00,1.5907851,-0.9197062,1.2444006,-0.6123067,2.333799,2.9558444
2020-01-03 16:00:00,1.5548332,-1.2420405,1.1411383,-0.75853175,2.2620761,3.081614
2020-01-03 17:00:00,1.4346598,-1.497818,1.0361968,-0.82511914,2.2137666,3.1643813
2020-01-03 18:00:00,1.2672478,-1.7493466,0.9116116,-0.9605464,2.2004094,3.248987
2020-01-03 19:00:00,1.064193,-1.904962,0.77315515,-1.0459,2.173728,3.2804594
2020-01-03 20:00:00,0.8822708,-2.0611675,0.667193,-1.140793,2.1947038,3.357053
2020-01-03 21:00:00,0.70542043,-2.2445383,0.57932884,-1.253929,2.2194798,3.4467525
2020-01-03 22:00:00,0.02953954,-2.249161,0.22010197,-1.213605,2.1128542,3.4146192
2020-01-03 23:00:00,-0.05204663,-2.3162997,0.19832128,-1.2957085,2.1562974,3.50741
2020-01-04 00:00:00,-0.11219309,-2.347805,0.1916759,-1.3497607,2.2111697,3.5760684
2020-01-04 01:00:00,-0.12029025,-2.3830075,0.20647416,-1.4243668,2.2715921,3.6338718
2020-01-04 02:00:00,-0.21251523,-2.429409,0.14609477,-1.489749,2.2956235,3.6854315
