datetime_utc,(t-11),(t-10),(t-9),(t-8),(t-7),(t-6),(t-5),(t-4),(t-3),(t-2),(t-1),(t)
2020-01-01 11:00:00+00:00,0.06363977538076154,0.06590197558527235,0.06640756760805697,0.06483893594762276,0.06330271403223872,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536
2020-01-01 12:00:00+00:00,0.06590197558527235,0.06640756760805697,0.06483893594762276,0.06330271403223872,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497
2020-01-01 13:00:00+00:00,0.06640756760805697,0.06483893594762276,0.06330271403223872,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878
2020-01-01 14:00:00+00:00,0.06483893594762276,0.06330271403223872,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512
2020-01-01 15:00:00+00:00,0.06330271403223872,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302
2020-01-01 16:00:00+00:00,0.06285545955054464,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435
2020-01-01 17:00:00+00:00,0.05971171428066564,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282
2020-01-01 18:00:00+00:00,0.054876180319161576,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844
2020-01-01 19:00:00+00:00,0.04694227473084906,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844,0.025675000028844805
2020-01-01 20:00:00+00:00,0.03860000635490281,0.03061424517450995,0.026083362816478536,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844,0.025675000028844805,0.02578519316201568
